uOut,rOut_x,rOut_y,rOut_z,g,uIn,TIn,dIn,density,heatCapacity,mu_c,B,T_VF,grid_points,solution_u,solution_N
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.393939393939394,2.6807431008396394,0.2663048238124269
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.4040404040404041,2.7318446980555033,0.2580245933163116
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.4141414141414142,2.7823063676657593,0.2501997596712157
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.42424242424242425,2.832146563074824,0.24279630668407526
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.43434343434343436,2.881383534302078,0.23578068295263005
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.4444444444444445,2.9300339163231146,0.22912517512850944
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.4545454545454546,2.9781138145018278,0.22280600555105218
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.4646464646464647,3.025639360635623,0.21679946641713593
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.4747474747474748,3.0726263237351588,0.2110825687520593
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.48484848484848486,3.1190889841272758,0.20563672390099244
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.494949494949495,3.165041366573029,0.2004449936335135
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5050505050505051,3.2104975007538084,0.19549044226918075
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5151515151515152,3.255470864234702,0.19075707738152786
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5252525252525253,3.2999737504871063,0.18623193606699315
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5353535353535354,3.3440183551914306,0.18190265920625298
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5454545454545455,3.387616858360667,0.1777568999848989
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5555555555555556,3.4307807379480635,0.17378339011440405
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5656565656565657,3.473520652799518,0.1699727611121039
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5757575757575758,3.5158472365017515,0.16631583748299605
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.5858585858585859,3.557771067873395,0.16280348923026072
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.595959595959596,3.599301967677263,0.15942767961777982
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6060606060606061,3.6404492872824767,0.1561814917607224
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6161616161616162,3.681222381038179,0.15305805959131089
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6262626262626263,3.7216304823275808,0.1500506077746643
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6363636363636365,3.7616821683836448,0.1471534326962371
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6464646464646465,3.801385879857416,0.1443615189513284
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6565656565656566,3.8407500642649253,0.1416698618910497
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6666666666666667,3.8797829525558494,0.13907359130534386
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.6767676767676768,3.9184926264181454,0.13656914887990546
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.686868686868687,3.9568873870919847,0.13415356732445594
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.696969696969697,3.99497552966619,0.13182387728726122
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7070707070707072,4.03276537819546,0.12957771021952025
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7171717171717172,4.07026649157929,0.12741491650379827
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7272727272727273,4.107488808966652,0.12533580310254594
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7373737373737375,4.144442506407013,0.12334119188508652
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7474747474747475,4.181141943329713,0.12143696299264767
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7575757575757577,4.217602988404699,0.11963067747313182
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7676767676767677,4.253844029223247,0.11793271019021755
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.7777777777777778,4.289890719260345,0.116361374381987
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.787878787878788,4.325776278626597,0.11494296219743874
